Auction,From,State,Loc,,Country,To,Car,Motorcycle,Pickup,SUV,Travel trailer,
Copart,LYMAN - Maine - Copart,Maine,ME - Lyman ,ME,USA,Newark,475,375,,,,Lyman 
Copart,Windham - Maine - Copart,Maine,ME - Windham ,ME,USA,Newark,475,375,,,,Windham 
Copart,BALTIMORE - Maryland - Copart,Maryland,MD - Baltimore ,MD,USA,Norfolk,325,275,,,,Baltimore 
Copart,BALTIMORE EAST - Maryland - Copart,Maryland,MD - Baltimore East ,MD,USA,Norfolk,325,275,,,,Baltimore East 
Copart,WASHINGTON DC - Maryland - Copart,District of Columbia,DC - Washington Dc ,DC,USA,Norfolk,300,250,,,,Washington Dc 
Copart,FREETOWN - Massachusetts - Copart,Massachusetts,MA - Freetown ,MA,USA,Newark,375,250,,,,Freetown 
Copart,NORTH BOSTON - Massachusetts - Copart,Massachusetts,MA - North Boston ,MA,USA,Newark,375,250,,,,North Boston 
Copart,SOUTH BOSTON - Massachusetts - Copart,Massachusetts,MA - South Boston ,MA,USA,Newark,375,250,,,,South Boston 
Copart,WEST WARREN - Massachusetts - Copart,Massachusetts,MA - West Warren ,MA,USA,Newark,375,250,,,,West Warren 
Copart,DETROIT - Michigan - Copart,Michigan,MI - Detroit ,MI,USA,Chicago,400,300,,,,Detroit 
Copart,FLINT - Michigan - Copart,Michigan,MI - Flint ,MI,USA,Chicago,450,325,,,,Flint 
Copart,IONIA - Michigan - Copart,Michigan,MI - Ionia ,MI,USA,Chicago,400,300,,,,Ionia 
Copart,KINCHELOE - Michigan - Copart,Michigan,MI - Kincheloe ,MI,USA,Chicago,750,650,,,,Kincheloe 
Copart,LANSING - Michigan - Copart,Michigan,MI - Lansing ,MI,USA,Chicago,400,300,,,,Lansing 
Copart,MINNEAPOLIS - Minnesota - Copart,Minnesota,MN - Minneapolis ,MN,USA,Chicago,450,350,,,,Minneapolis 
Copart,MINNEAPOLIS NORTH - Minnesota - Copart,Minnesota,MN - Minneapolis North ,MN,USA,Chicago,450,350,,,,Minneapolis North 
Copart,ST. CLOUD - Minnesota - Copart,Minnesota,MN - St. Cloud ,MN,USA,Chicago,500,400,,,,St. Cloud 
Copart,JACKSON - Mississippi - Copart,Mississippi,MS - Jackson ,MS,USA,Savannah,425,375,,,,Jackson 
Copart,SIKESTON - Missouri - Copart,Missouri,MO - Sikeston ,MO,USA,Chicago,475,400,,,,Sikeston 
Copart,SPRINGFIELD - Missouri - Copart,Missouri,MO - Springfield ,MO,USA,Savannah,625,425,,,,Springfield 
Copart,ST. LOUIS - Missouri - Copart,Missouri,MO - St. Louis ,MO,USA,Savannah,575,425,,,,St. Louis 
Copart,BILLINGS - Montana - Copart,Montana,MT - Billings ,MT,USA,Seattle,850,850,,,,Billings 
Copart,HELENA - Montana - Copart,Montana,MT - Helena ,MT,USA,Seattle,750,750,,,,Helena 
Copart,TAMPA SOUTH - Mulberry Sublot - Florida - Copart,Florida,FL - Tampa South ,FL,USA,Miami,275,250,,,,Tampa South 
Copart,LINCOLN - Nebraska - Copart,Nebraska,NE - Lincoln ,NE,USA,Chicago,450,350,,,,Lincoln 
Copart,LAS VEGAS - Nevada - Copart,Nevada,NV - Las Vegas ,NV,USA,Los Angeles,325,250,,,,Las Vegas 
Copart,RENO - Nevada - Copart,Nevada,NV - Reno ,NV,USA,Los Angeles,550,500,,,,Reno 
Copart,MONCTON - New Brunswick - Copart,New Brunswick,NB - Moncton ,NB,Canada,Toronto,1200,1100,1450,1200,,Moncton 
Copart,CANDIA - New Hampshire - Copart,New Hampshire,NH - Candia ,NH,USA,Newark,400,300,,,,Candia 
Copart,WEBSTER - New Hampshire - Copart,New Hampshire,NH - Webster ,NH,USA,Newark,400,300,,,,Webster 
Copart,GLASSBORO EAST - New Jersey - Copart,New Jersey,NJ - Glassboro East ,NJ,USA,Newark,200,165,,,,Glassboro East 
Copart,GLASSBORO WEST - New Jersey - Copart,New Jersey,NJ - Glassboro West ,NJ,USA,Newark,200,165,,,,Glassboro West 
Copart,SOMERVILLE - New Jersey - Copart,New Jersey,NJ - Somerville ,NJ,USA,Newark,150,100,,,,Somerville 
